repo,source,target
EgoCore,app/integrations/openemotion/injection_metrics.py,os
EgoCore,app/integrations/openemotion/manager.py,logging
EgoCore,app/integrations/openemotion/manager.py,subprocess
EgoCore,app/integrations/openemotion/manager.py,time
EgoCore,app/integrations/openemotion/manager.py,os
EgoCore,app/integrations/openemotion/manager.py,signal
EgoCore,app/integrations/openemotion/manager.py,typing
EgoCore,app/integrations/openemotion/manager.py,dataclasses
EgoCore,app/integrations/openemotion/manager.py,datetime
EgoCore,app/integrations/openemotion/manager.py,pathlib
EgoCore,app/integrations/openemotion/manager.py,threading
EgoCore,app/integrations/openemotion/manager.py,app.integrations.openemotion.client
EgoCore,app/integrations/openemotion/plan_adapter.py,logging
EgoCore,app/integrations/openemotion/plan_adapter.py,dataclasses
EgoCore,app/integrations/openemotion/plan_adapter.py,typing
EgoCore,app/integrations/openemotion/reply_injection.py,logging
EgoCore,app/integrations/openemotion/reply_injection.py,time
EgoCore,app/integrations/openemotion/reply_injection.py,dataclasses
EgoCore,app/integrations/openemotion/reply_injection.py,typing
EgoCore,app/integrations/openemotion/reply_injection.py,app.integrations.openemotion.client
EgoCore,app/integrations/openemotion/reply_injection.py,app.integrations.openemotion.injection_gate
EgoCore,app/integrations/openemotion/reply_injection.py,app.integrations.openemotion.plan_adapter
EgoCore,app/integrations/openemotion/reply_injection.py,app.integrations.openemotion.fallback
EgoCore,app/integrations/openemotion/types.py,dataclasses
EgoCore,app/integrations/openemotion/types.py,typing
EgoCore,app/integrations/openemotion/types.py,datetime
EgoCore,app/integrations/openemotion/types.py,enum
EgoCore,app/interaction/__init__.py,.classify_interaction
EgoCore,app/interaction/__init__.py,.normalize_user_turn
EgoCore,app/interaction/classify_interaction.py,__future__
EgoCore,app/interaction/classify_interaction.py,dataclasses
EgoCore,app/interaction/classify_interaction.py,enum
EgoCore,app/interaction/classify_interaction.py,typing
EgoCore,app/interaction/event_normalizer.py,uuid
EgoCore,app/interaction/event_normalizer.py,typing
EgoCore,app/interaction/event_normalizer.py,datetime
EgoCore,app/interaction/event_normalizer.py,egocore.contracts.interaction_event_envelope_v1
EgoCore,app/interaction/normalize_user_turn.py,__future__
EgoCore,app/interaction/normalize_user_turn.py,dataclasses
EgoCore,app/interaction/normalize_user_turn.py,re
EgoCore,app/interaction/normalize_user_turn.py,typing
EgoCore,app/interaction/session_context_store.py,typing
EgoCore,app/interaction/session_context_store.py,datetime
EgoCore,app/interaction/session_context_store.py,collections
EgoCore,app/interaction/session_context_store.py,threading
EgoCore,app/live_process_version.py,__future__
EgoCore,app/live_process_version.py,json
EgoCore,app/live_process_version.py,os
EgoCore,app/live_process_version.py,socket
EgoCore,app/live_process_version.py,subprocess
EgoCore,app/live_process_version.py,sys
EgoCore,app/live_process_version.py,datetime
EgoCore,app/live_process_version.py,pathlib
EgoCore,app/live_process_version.py,typing
EgoCore,app/llm_client.py,json
EgoCore,app/llm_client.py,os
EgoCore,app/llm_client.py,typing
EgoCore,app/llm_client.py,abc
EgoCore,app/llm_client.py,dataclasses
EgoCore,app/llm_client.py,httpx
EgoCore,app/llm_client.py,app.config
EgoCore,app/llm_client.py,anthropic
EgoCore,app/logger.py,logging
EgoCore,app/logger.py,sys
EgoCore,app/logger.py,pathlib
EgoCore,app/logger.py,typing
EgoCore,app/logger.py,logging.handlers
EgoCore,app/logs/__init__.py,app.logs.event_logger
EgoCore,app/logs/event_logger.py,json
EgoCore,app/logs/event_logger.py,pathlib
EgoCore,app/logs/event_logger.py,datetime
EgoCore,app/logs/event_logger.py,typing
EgoCore,app/logs/event_logger.py,enum
EgoCore,app/main.py,os
EgoCore,app/main.py,socket
EgoCore,app/main.py,tempfile
EgoCore,app/main.py,argparse
EgoCore,app/main.py,sys
EgoCore,app/main.py,pathlib
EgoCore,app/main.py,app.config
EgoCore,app/main.py,app.live_process_version
EgoCore,app/main.py,app.logger
EgoCore,app/memory/__init__.py,app.memory.types
EgoCore,app/memory/__init__.py,app.memory.memory_manager
EgoCore,app/memory/__init__.py,app.memory.task_memory
EgoCore,app/memory/__init__.py,app.memory.profile_memory
EgoCore,app/memory/__init__.py,app.memory.project_memory
EgoCore,app/memory/__init__.py,app.memory.interaction_memory
EgoCore,app/memory/interaction_memory.py,datetime
EgoCore,app/memory/interaction_memory.py,typing
EgoCore,app/memory/interaction_memory.py,app.memory.memory_manager
EgoCore,app/memory/memory_manager.py,json
EgoCore,app/memory/memory_manager.py,sqlite3
EgoCore,app/memory/memory_manager.py,pathlib
EgoCore,app/memory/memory_manager.py,typing
EgoCore,app/memory/memory_manager.py,datetime
EgoCore,app/memory/memory_manager.py,uuid
EgoCore,app/memory/memory_manager.py,app.memory.types
EgoCore,app/memory/memory_manager.py,app.config
EgoCore,app/memory/profile_memory.py,__future__
EgoCore,app/memory/profile_memory.py,dataclasses
EgoCore,app/memory/profile_memory.py,datetime
EgoCore,app/memory/profile_memory.py,hashlib
EgoCore,app/memory/profile_memory.py,json
EgoCore,app/memory/profile_memory.py,re
EgoCore,app/memory/profile_memory.py,pathlib
EgoCore,app/memory/profile_memory.py,typing
EgoCore,app/memory/profile_memory.py,app.memory.types
EgoCore,app/memory/profile_memory.py,app.memory.memory_manager
EgoCore,app/memory/profile_memory.py,app.risk_signal
EgoCore,app/memory/project_memory.py,datetime
EgoCore,app/memory/project_memory.py,typing
EgoCore,app/memory/project_memory.py,app.memory.memory_manager
EgoCore,app/memory/task_memory.py,datetime
EgoCore,app/memory/task_memory.py,typing
EgoCore,app/memory/task_memory.py,app.memory.memory_manager
EgoCore,app/memory/types.py,enum
EgoCore,app/memory/types.py,typing
EgoCore,app/memory/types.py,datetime
EgoCore,app/memory/types.py,pydantic
EgoCore,app/memory/types.py,pathlib
EgoCore,app/openemotion/subject_adapter.py,logging
EgoCore,app/openemotion/subject_adapter.py,time
EgoCore,app/openemotion/subject_adapter.py,httpx
EgoCore,app/openemotion/subject_adapter.py,typing
EgoCore,app/openemotion/subject_adapter.py,egocore.contracts.interaction_event_envelope_v1
EgoCore,app/openemotion_adapter/__init__.py,app.openemotion_adapter.proto_self_adapter
EgoCore,app/openemotion_adapter/__init__.py,app.openemotion_adapter.proto_self_contract_validator
EgoCore,app/openemotion_adapter/__init__.py,app.openemotion_adapter.developmental_writeback
EgoCore,app/openemotion_adapter/__init__.py,app.openemotion_adapter.proto_self_state_store
EgoCore,app/openemotion_adapter/__init__.py,app.openemotion_adapter.proto_self_trace_bridge
EgoCore,app/openemotion_adapter/developmental_writeback.py,__future__
EgoCore,app/openemotion_adapter/developmental_writeback.py,logging
EgoCore,app/openemotion_adapter/developmental_writeback.py,os
EgoCore,app/openemotion_adapter/developmental_writeback.py,pathlib
EgoCore,app/openemotion_adapter/developmental_writeback.py,typing
EgoCore,app/openemotion_adapter/event_builder.py,datetime
EgoCore,app/openemotion_adapter/event_builder.py,typing
EgoCore,app/openemotion_adapter/event_builder.py,uuid
EgoCore,app/openemotion_adapter/event_builder.py,app.risk_signal
EgoCore,app/openemotion_adapter/proto_self_adapter.py,logging
EgoCore,app/openemotion_adapter/proto_self_adapter.py,datetime
EgoCore,app/openemotion_adapter/proto_self_adapter.py,pathlib
EgoCore,app/openemotion_adapter/proto_self_adapter.py,typing
EgoCore,app/openemotion_adapter/proto_self_adapter.py,openemotion.proto_self
EgoCore,app/openemotion_adapter/proto_self_adapter.py,openemotion.proto_self.kernel
EgoCore,app/openemotion_adapter/proto_self_adapter.py,openemotion.proto_self.boundary
EgoCore,app/openemotion_adapter/proto_self_adapter.py,openemotion.proto_self_v2
EgoCore,app/openemotion_adapter/proto_self_adapter.py,app.openemotion_adapter.proto_self_state_store
EgoCore,app/openemotion_adapter/proto_self_adapter.py,app.openemotion_adapter.proto_self_contract_validator
EgoCore,app/openemotion_adapter/proto_self_contract_validator.py,__future__
EgoCore,app/openemotion_adapter/proto_self_contract_validator.py,json
EgoCore,app/openemotion_adapter/proto_self_contract_validator.py,functools
EgoCore,app/openemotion_adapter/proto_self_contract_validator.py,pathlib
EgoCore,app/openemotion_adapter/proto_self_contract_validator.py,typing
EgoCore,app/openemotion_adapter/proto_self_contract_validator.py,openemotion.proto_self_v2.seed_schemas
EgoCore,app/openemotion_adapter/proto_self_state_store.py,__future__
EgoCore,app/openemotion_adapter/proto_self_state_store.py,json
EgoCore,app/openemotion_adapter/proto_self_state_store.py,copy
EgoCore,app/openemotion_adapter/proto_self_state_store.py,datetime
EgoCore,app/openemotion_adapter/proto_self_state_store.py,pathlib
EgoCore,app/openemotion_adapter/proto_self_state_store.py,typing
EgoCore,app/openemotion_adapter/proto_self_state_store.py,openemotion.proto_self
EgoCore,app/openemotion_adapter/proto_self_state_store.py,openemotion.proto_self_v2.state
EgoCore,app/openemotion_adapter/proto_self_trace_bridge.py,json
EgoCore,app/openemotion_adapter/proto_self_trace_bridge.py,datetime
EgoCore,app/openemotion_adapter/proto_self_trace_bridge.py,pathlib
EgoCore,app/openemotion_adapter/proto_self_trace_bridge.py,typing
EgoCore,app/openemotion_adapter/result_consumer.py,dataclasses
EgoCore,app/openemotion_adapter/result_consumer.py,typing
EgoCore,app/openemotion_adapter/result_consumer.py,logging
EgoCore,app/openemotion_hooks/__init__.py,.native_hooks
EgoCore,app/openemotion_hooks/__init__.py,.subject_gate
EgoCore,app/openemotion_hooks/native_hooks.py,__future__
EgoCore,app/openemotion_hooks/native_hooks.py,logging
EgoCore,app/openemotion_hooks/native_hooks.py,typing
EgoCore,app/openemotion_hooks/native_hooks.py,app.runtime_v2.proto_self_runtime
EgoCore,app/openemotion_hooks/subject_gate.py,__future__
EgoCore,app/openemotion_hooks/subject_gate.py,logging
EgoCore,app/openemotion_hooks/subject_gate.py,dataclasses
EgoCore,app/openemotion_hooks/subject_gate.py,typing
EgoCore,app/response/__init__.py,app.response.verbalizer
EgoCore,app/response/__init__.py,app.response.verbalizer_v3
EgoCore,app/response/__init__.py,app.response.relationship_context
EgoCore,app/response/__init__.py,app.response.style_profile
EgoCore,app/response/__init__.py,app.response.question_verbalizer
EgoCore,app/response/question_verbalizer.py,logging
EgoCore,app/response/question_verbalizer.py,random
EgoCore,app/response/question_verbalizer.py,typing
EgoCore,app/response/question_verbalizer.py,app.response.relationship_context
EgoCore,app/response/question_verbalizer.py,app.response.style_profile
EgoCore,app/response/relationship_context.py,dataclasses
EgoCore,app/response/relationship_context.py,typing
EgoCore,app/response/relationship_context.py,datetime
EgoCore,app/response/relationship_context.py,enum
EgoCore,app/response/relationship_context.py,math
EgoCore,app/response/style_profile.py,dataclasses
EgoCore,app/response/style_profile.py,typing
EgoCore,app/response/style_profile.py,datetime
EgoCore,app/response/style_profile.py,random
EgoCore,app/response/verbalizer.py,logging
EgoCore,app/response/verbalizer.py,random
EgoCore,app/response/verbalizer.py,typing
EgoCore,app/response/verbalizer.py,egocore.contracts.outward_response_package_v1
EgoCore,app/response/verbalizer_v3.py,logging
EgoCore,app/response/verbalizer_v3.py,random
EgoCore,app/response/verbalizer_v3.py,typing
EgoCore,app/response/verbalizer_v3.py,egocore.contracts.outward_response_package_v1
EgoCore,app/response/verbalizer_v3.py,app.response.relationship_context
EgoCore,app/response/verbalizer_v3.py,app.response.style_profile
EgoCore,app/response_contract/__init__.py,.memory_claim_gate
EgoCore,app/response_contract/__init__.py,.output_check
EgoCore,app/response_contract/__init__.py,.response_plan
EgoCore,app/response_contract/memory_claim_gate.py,__future__
EgoCore,app/response_contract/memory_claim_gate.py,dataclasses
EgoCore,app/response_contract/memory_claim_gate.py,re
EgoCore,app/response_contract/memory_claim_gate.py,typing
EgoCore,app/response_contract/memory_claim_gate.py,app.restore_runtime
EgoCore,app/response_contract/output_check.py,__future__
EgoCore,app/response_contract/output_check.py,dataclasses
EgoCore,app/response_contract/output_check.py,os
EgoCore,app/response_contract/output_check.py,re
EgoCore,app/response_contract/output_check.py,typing
EgoCore,app/response_contract/output_check.py,app.runtime_v2.semantic_parser
EgoCore,app/response_contract/output_check.py,app.runtime_v2.run_items
EgoCore,app/response_contract/output_check.py,.response_plan
EgoCore,app/response_contract/response_plan.py,__future__
EgoCore,app/response_contract/response_plan.py,dataclasses
EgoCore,app/response_contract/response_plan.py,hashlib
EgoCore,app/response_contract/response_plan.py,pathlib
EgoCore,app/response_contract/response_plan.py,re
EgoCore,app/response_contract/response_plan.py,typing
EgoCore,app/response_contract/response_plan.py,app.restore_runtime
EgoCore,app/response_contract/response_plan.py,app.runtime_v2.semantic_parser
EgoCore,app/response_contract/response_plan.py,.memory_claim_gate
EgoCore,app/restore_runtime.py,__future__
EgoCore,app/restore_runtime.py,dataclasses
EgoCore,app/restore_runtime.py,pathlib
EgoCore,app/restore_runtime.py,typing
EgoCore,app/restore_runtime.py,egocore.runtime.context_injector
EgoCore,app/restore_runtime.py,egocore.runtime.self_restorer
EgoCore,app/risk_signal.py,__future__
EgoCore,app/risk_signal.py,dataclasses
EgoCore,app/risk_signal.py,re
EgoCore,app/risk_signal.py,typing
EgoCore,app/runtime/__init__.py,.types
EgoCore,app/runtime/__init__.py,.lane_manager
EgoCore,app/runtime/__init__.py,.session_manager
EgoCore,app/runtime/__init__.py,.types
EgoCore,app/runtime/__init__.py,.event_bus
EgoCore,app/runtime/__init__.py,.context_assembler
EgoCore,app/runtime/__init__.py,.completion_guard
EgoCore,app/runtime/__init__.py,.repair_context_manager
EgoCore,app/runtime/__init__.py,.agent_runner
EgoCore,app/runtime/__init__.py,.request_identity
EgoCore,app/runtime/__init__.py,.request_lifecycle
EgoCore,app/runtime/__init__.py,.delivery_policy
EgoCore,app/runtime/__init__.py,.completion_contract
EgoCore,app/runtime/__init__.py,.request_resolution_policy
EgoCore,app/runtime/__init__.py,.types
EgoCore,app/runtime/__init__.py,.reply_dispatcher
EgoCore,app/runtime/agent_runner.py,asyncio
EgoCore,app/runtime/agent_runner.py,uuid
EgoCore,app/runtime/agent_runner.py,typing
EgoCore,app/runtime/agent_runner.py,json
EgoCore,app/runtime/agent_runner.py,datetime
EgoCore,app/runtime/agent_runner.py,logging
EgoCore,app/runtime/agent_runner.py,traceback
EgoCore,app/runtime/agent_runner.py,.types
EgoCore,app/runtime/agent_runner.py,.lane_manager
EgoCore,app/runtime/agent_runner.py,.session_manager
EgoCore,app/runtime/agent_runner.py,.event_bus
EgoCore,app/runtime/agent_runner.py,.context_assembler
EgoCore,app/runtime/agent_runner.py,.completion_guard
EgoCore,app/runtime/agent_runner.py,.repair_context_manager
EgoCore,app/runtime/agent_runner.py,.follow_up_resolver
EgoCore,app/runtime/agent_runner.py,.html_artifact_adapter
EgoCore,app/runtime/agent_runner.py,.task_planning
EgoCore,app/runtime/agent_runner.py,.artifact_skill_contract
EgoCore,app/runtime/agent_runner.py,.html_skill
EgoCore,app/runtime/agent_runner.py,.request_classifier
EgoCore,app/runtime/agent_runner.py,.request_registry
EgoCore,app/runtime/agent_runner.py,.completion_contract
EgoCore,app/runtime/agent_runner.py,app.tools
EgoCore,app/runtime/approval_policy.py,dataclasses
EgoCore,app/runtime/approval_policy.py,typing
EgoCore,app/runtime/approval_policy.py,enum
EgoCore,app/runtime/approval_policy.py,app.risk_signal
EgoCore,app/runtime/approval_policy.py,app.runtime.execution_result
EgoCore,app/runtime/approval_policy.py,app.runtime.intent_mapper
EgoCore,app/runtime/artifact_skill_contract.py,dataclasses
EgoCore,app/runtime/artifact_skill_contract.py,typing
EgoCore,app/runtime/artifact_state.py,dataclasses
EgoCore,app/runtime/artifact_state.py,typing
EgoCore,app/runtime/checkpoint.py,json
EgoCore,app/runtime/checkpoint.py,os
EgoCore,app/runtime/checkpoint.py,datetime
EgoCore,app/runtime/checkpoint.py,pathlib
EgoCore,app/runtime/checkpoint.py,typing
EgoCore,app/runtime/checkpoint.py,dataclasses
EgoCore,app/runtime/checkpoint.py,uuid
EgoCore,app/runtime/checkpoint.py,threading
EgoCore,app/runtime/checkpoint.py,app.storage.models
EgoCore,app/runtime/checkpoint.py,app.logs.event_logger
EgoCore,app/runtime/completion_contract.py,dataclasses
EgoCore,app/runtime/completion_contract.py,typing
EgoCore,app/runtime/completion_guard.py,typing
EgoCore,app/runtime/completion_guard.py,dataclasses
EgoCore,app/runtime/completion_guard.py,enum
EgoCore,app/runtime/completion_guard.py,os
EgoCore,app/runtime/completion_guard.py,logging
EgoCore,app/runtime/confirmation_renderer.py,typing
EgoCore,app/runtime/confirmation_renderer.py,app.runtime.approval_policy
EgoCore,app/runtime/context_assembler.py,typing
EgoCore,app/runtime/context_assembler.py,dataclasses
EgoCore,app/runtime/context_assembler.py,datetime
EgoCore,app/runtime/context_assembler.py,logging
EgoCore,app/runtime/context_assembler.py,app.risk_signal
EgoCore,app/runtime/control_audit.py,dataclasses
